Test_ID,logic,emb_model,nDCG Score
1_ID1-2_1,retrieve,GEMINI,0.771272
2_ID1-2_2,retrieve,GEMINI,0.562039
3_ID2-17_1,retrieve,GEMINI,0.711899
4_ID2-17_2,retrieve,GEMINI,0.225782
5_ID3-30_1,retrieve,GEMINI,0.780918
6_ID3-30_2,retrieve,GEMINI,0.174166
7_ID1-3_1,retrieve,GEMINI,0.574621
8_ID1-3_2,retrieve,GEMINI,0.537990
9_ID4-50_1,retrieve,GEMINI,0.821737
10_ID4-50_2,retrieve,GEMINI,0.981128
#MEAN,retrieve,GEMINI,0.614155
1_ID1-2_1,retrieve,OPENAI_SMALL,0.394975
2_ID1-2_2,retrieve,OPENAI_SMALL,0.000000
3_ID2-17_1,retrieve,OPENAI_SMALL,0.476282
4_ID2-17_2,retrieve,OPENAI_SMALL,0.304901
5_ID3-30_1,retrieve,OPENAI_SMALL,0.787478
6_ID3-30_2,retrieve,OPENAI_SMALL,0.000000
7_ID1-3_1,retrieve,OPENAI_SMALL,0.390294
8_ID1-3_2,retrieve,OPENAI_SMALL,0.000000
9_ID4-50_1,retrieve,OPENAI_SMALL,0.940911
10_ID4-50_2,retrieve,OPENAI_SMALL,0.732189
#MEAN,retrieve,OPENAI_SMALL,0.402703
1_ID1-2_1,retrieve,OPENAI_LARGE,0.394975
2_ID1-2_2,retrieve,OPENAI_LARGE,0.000000
3_ID2-17_1,retrieve,OPENAI_LARGE,0.550762
4_ID2-17_2,retrieve,OPENAI_LARGE,0.066182
5_ID3-30_1,retrieve,OPENAI_LARGE,0.795355
6_ID3-30_2,retrieve,OPENAI_LARGE,0.064133
7_ID1-3_1,retrieve,OPENAI_LARGE,0.390294
8_ID1-3_2,retrieve,OPENAI_LARGE,0.000000
9_ID4-50_1,retrieve,OPENAI_LARGE,0.773634
10_ID4-50_2,retrieve,OPENAI_LARGE,0.626052
#MEAN,retrieve,OPENAI_LARGE,0.366139
1_ID1-2_1,retrieve,PLAMO,0.255349
2_ID1-2_2,retrieve,PLAMO,0.000000
3_ID2-17_1,retrieve,PLAMO,0.405628
4_ID2-17_2,retrieve,PLAMO,0.062699
5_ID3-30_1,retrieve,PLAMO,0.810859
6_ID3-30_2,retrieve,PLAMO,0.000000
7_ID1-3_1,retrieve,PLAMO,0.319970
8_ID1-3_2,retrieve,PLAMO,0.063333
9_ID4-50_1,retrieve,PLAMO,0.803347
10_ID4-50_2,retrieve,PLAMO,0.788677
#MEAN,retrieve,PLAMO,0.350986
1_ID1-2_1,retrieve,RURI,0.552238
2_ID1-2_2,retrieve,RURI,0.219097
3_ID2-17_1,retrieve,RURI,0.548477
4_ID2-17_2,retrieve,RURI,0.358562
5_ID3-30_1,retrieve,RURI,0.819990
6_ID3-30_2,retrieve,RURI,0.000000
7_ID1-3_1,retrieve,RURI,0.454851
8_ID1-3_2,retrieve,RURI,0.219097
9_ID4-50_1,retrieve,RURI,0.822942
10_ID4-50_2,retrieve,RURI,0.928964
#MEAN,retrieve,RURI,0.492422
1_ID1-2_1,rerank,GEMINI,0.797014
2_ID1-2_2,rerank,GEMINI,0.654448
3_ID2-17_1,rerank,GEMINI,0.660882
4_ID2-17_2,rerank,GEMINI,0.503972
5_ID3-30_1,rerank,GEMINI,0.780204
6_ID3-30_2,rerank,GEMINI,0.266305
7_ID1-3_1,rerank,GEMINI,0.674593
8_ID1-3_2,rerank,GEMINI,0.523301
9_ID4-50_1,rerank,GEMINI,0.994522
10_ID4-50_2,rerank,GEMINI,0.944608
#MEAN,rerank,GEMINI,0.679985
1_ID1-2_1,rerank,OPENAI_SMALL,0.498416
2_ID1-2_2,rerank,OPENAI_SMALL,0.334411
3_ID2-17_1,rerank,OPENAI_SMALL,0.660882
4_ID2-17_2,rerank,OPENAI_SMALL,0.314818
5_ID3-30_1,rerank,OPENAI_SMALL,0.780204
6_ID3-30_2,rerank,OPENAI_SMALL,0.000000
7_ID1-3_1,rerank,OPENAI_SMALL,0.467379
8_ID1-3_2,rerank,OPENAI_SMALL,0.322879
9_ID4-50_1,rerank,OPENAI_SMALL,0.994522
10_ID4-50_2,rerank,OPENAI_SMALL,0.942605
#MEAN,rerank,OPENAI_SMALL,0.531612
1_ID1-2_1,rerank,OPENAI_LARGE,0.444287
2_ID1-2_2,rerank,OPENAI_LARGE,0.388788
3_ID2-17_1,rerank,OPENAI_LARGE,0.647564
4_ID2-17_2,rerank,OPENAI_LARGE,0.489141
5_ID3-30_1,rerank,OPENAI_LARGE,0.774896
6_ID3-30_2,rerank,OPENAI_LARGE,0.000000
7_ID1-3_1,rerank,OPENAI_LARGE,0.642161
8_ID1-3_2,rerank,OPENAI_LARGE,0.393754
9_ID4-50_1,rerank,OPENAI_LARGE,0.994522
10_ID4-50_2,rerank,OPENAI_LARGE,0.942605
#MEAN,rerank,OPENAI_LARGE,0.571772
1_ID1-2_1,rerank,PLAMO,0.444287
2_ID1-2_2,rerank,PLAMO,0.548687
3_ID2-17_1,rerank,PLAMO,0.504803
4_ID2-17_2,rerank,PLAMO,0.704566
5_ID3-30_1,rerank,PLAMO,0.718832
6_ID3-30_2,rerank,PLAMO,0.000000
7_ID1-3_1,rerank,PLAMO,0.460846
8_ID1-3_2,rerank,PLAMO,0.541411
9_ID4-50_1,rerank,PLAMO,0.882197
10_ID4-50_2,rerank,PLAMO,0.993961
#MEAN,rerank,PLAMO,0.579959
1_ID1-2_1,rerank,RURI,0.724483
2_ID1-2_2,rerank,RURI,0.219097
3_ID2-17_1,rerank,RURI,0.720592
4_ID2-17_2,rerank,RURI,0.468488
5_ID3-30_1,rerank,RURI,0.649962
6_ID3-30_2,rerank,RURI,0.000000
7_ID1-3_1,rerank,RURI,0.414990
8_ID1-3_2,rerank,RURI,0.219097
9_ID4-50_1,rerank,RURI,0.994522
10_ID4-50_2,rerank,RURI,0.944608
#MEAN,rerank,RURI,0.535584
1_ID1-2_1,parentchunk,GEMINI,0.645743
2_ID1-2_2,parentchunk,GEMINI,0.498400
3_ID2-17_1,parentchunk,GEMINI,0.714762
4_ID2-17_2,parentchunk,GEMINI,0.711061
5_ID3-30_1,parentchunk,GEMINI,0.751826
6_ID3-30_2,parentchunk,GEMINI,0.807062
7_ID1-3_1,parentchunk,GEMINI,0.535134
8_ID1-3_2,parentchunk,GEMINI,0.439554
9_ID4-50_1,parentchunk,GEMINI,0.818944
10_ID4-50_2,parentchunk,GEMINI,0.995270
#MEAN,parentchunk,GEMINI,0.691776
1_ID1-2_1,parentchunk,OPENAI_SMALL,0.179786
2_ID1-2_2,parentchunk,OPENAI_SMALL,0.065480
3_ID2-17_1,parentchunk,OPENAI_SMALL,0.627824
4_ID2-17_2,parentchunk,OPENAI_SMALL,0.731496
5_ID3-30_1,parentchunk,OPENAI_SMALL,0.627429
6_ID3-30_2,parentchunk,OPENAI_SMALL,0.534762
7_ID1-3_1,parentchunk,OPENAI_SMALL,0.174337
8_ID1-3_2,parentchunk,OPENAI_SMALL,0.065480
9_ID4-50_1,parentchunk,OPENAI_SMALL,0.883403
10_ID4-50_2,parentchunk,OPENAI_SMALL,0.995270
#MEAN,parentchunk,OPENAI_SMALL,0.488527
1_ID1-2_1,parentchunk,OPENAI_LARGE,0.421417
2_ID1-2_2,parentchunk,OPENAI_LARGE,0.281580
3_ID2-17_1,parentchunk,OPENAI_LARGE,0.638030
4_ID2-17_2,parentchunk,OPENAI_LARGE,0.789799
5_ID3-30_1,parentchunk,OPENAI_LARGE,0.426346
6_ID3-30_2,parentchunk,OPENAI_LARGE,0.382889
7_ID1-3_1,parentchunk,OPENAI_LARGE,0.343935
8_ID1-3_2,parentchunk,OPENAI_LARGE,0.285763
9_ID4-50_1,parentchunk,OPENAI_LARGE,0.818944
10_ID4-50_2,parentchunk,OPENAI_LARGE,0.875391
#MEAN,parentchunk,OPENAI_LARGE,0.526409
1_ID1-2_1,parentchunk,PLAMO,0.321354
2_ID1-2_2,parentchunk,PLAMO,0.351852
3_ID2-17_1,parentchunk,PLAMO,0.575457
4_ID2-17_2,parentchunk,PLAMO,0.726329
5_ID3-30_1,parentchunk,PLAMO,0.725257
6_ID3-30_2,parentchunk,PLAMO,0.622956
7_ID1-3_1,parentchunk,PLAMO,0.327882
8_ID1-3_2,parentchunk,PLAMO,0.347060
9_ID4-50_1,parentchunk,PLAMO,0.883403
10_ID4-50_2,parentchunk,PLAMO,0.995270
#MEAN,parentchunk,PLAMO,0.587682
1_ID1-2_1,parentchunk,RURI,0.420129
2_ID1-2_2,parentchunk,RURI,0.424896
3_ID2-17_1,parentchunk,RURI,0.642641
4_ID2-17_2,parentchunk,RURI,0.713449
5_ID3-30_1,parentchunk,RURI,0.538225
6_ID3-30_2,parentchunk,RURI,0.220576
7_ID1-3_1,parentchunk,RURI,0.362384
8_ID1-3_2,parentchunk,RURI,0.429003
9_ID4-50_1,parentchunk,RURI,0.938681
10_ID4-50_2,parentchunk,RURI,0.937071
#MEAN,parentchunk,RURI,0.562706
1_ID1-2_1,Hybrid_wo_User.dic,GEMINI,0.397953
2_ID1-2_2,Hybrid_wo_User.dic,GEMINI,0.207565
3_ID2-17_1,Hybrid_wo_User.dic,GEMINI,0.711899
4_ID2-17_2,Hybrid_wo_User.dic,GEMINI,0.777242
5_ID3-30_1,Hybrid_wo_User.dic,GEMINI,0.616253
6_ID3-30_2,Hybrid_wo_User.dic,GEMINI,0.597695
7_ID1-3_1,Hybrid_wo_User.dic,GEMINI,0.255801
8_ID1-3_2,Hybrid_wo_User.dic,GEMINI,0.230628
9_ID4-50_1,Hybrid_wo_User.dic,GEMINI,0.938814
10_ID4-50_2,Hybrid_wo_User.dic,GEMINI,0.937071
#MEAN,Hybrid_wo_User.dic,GEMINI,0.567092
1_ID1-2_1,Hybrid_wo_User.dic,OPENAI_SMALL,0.418790
2_ID1-2_2,Hybrid_wo_User.dic,OPENAI_SMALL,0.273520
3_ID2-17_1,Hybrid_wo_User.dic,OPENAI_SMALL,0.711899
4_ID2-17_2,Hybrid_wo_User.dic,OPENAI_SMALL,0.777242
5_ID3-30_1,Hybrid_wo_User.dic,OPENAI_SMALL,0.619065
6_ID3-30_2,Hybrid_wo_User.dic,OPENAI_SMALL,0.692796
7_ID1-3_1,Hybrid_wo_User.dic,OPENAI_SMALL,0.189503
8_ID1-3_2,Hybrid_wo_User.dic,OPENAI_SMALL,0.340187
9_ID4-50_1,Hybrid_wo_User.dic,OPENAI_SMALL,0.938814
10_ID4-50_2,Hybrid_wo_User.dic,OPENAI_SMALL,0.937071
#MEAN,Hybrid_wo_User.dic,OPENAI_SMALL,0.589889
1_ID1-2_1,Hybrid_wo_User.dic,OPENAI_LARGE,0.403862
2_ID1-2_2,Hybrid_wo_User.dic,OPENAI_LARGE,0.508616
3_ID2-17_1,Hybrid_wo_User.dic,OPENAI_LARGE,0.711899
4_ID2-17_2,Hybrid_wo_User.dic,OPENAI_LARGE,0.777242
5_ID3-30_1,Hybrid_wo_User.dic,OPENAI_LARGE,0.619065
6_ID3-30_2,Hybrid_wo_User.dic,OPENAI_LARGE,0.628138
7_ID1-3_1,Hybrid_wo_User.dic,OPENAI_LARGE,0.401606
8_ID1-3_2,Hybrid_wo_User.dic,OPENAI_LARGE,0.534198
9_ID4-50_1,Hybrid_wo_User.dic,OPENAI_LARGE,0.938814
10_ID4-50_2,Hybrid_wo_User.dic,OPENAI_LARGE,0.937071
#MEAN,Hybrid_wo_User.dic,OPENAI_LARGE,0.646051
1_ID1-2_1,Hybrid_wo_User.dic,PLAMO,0.300827
2_ID1-2_2,Hybrid_wo_User.dic,PLAMO,0.508262
3_ID2-17_1,Hybrid_wo_User.dic,PLAMO,0.711899
4_ID2-17_2,Hybrid_wo_User.dic,PLAMO,0.777242
5_ID3-30_1,Hybrid_wo_User.dic,PLAMO,0.677981
6_ID3-30_2,Hybrid_wo_User.dic,PLAMO,0.557884
7_ID1-3_1,Hybrid_wo_User.dic,PLAMO,0.314955
8_ID1-3_2,Hybrid_wo_User.dic,PLAMO,0.534487
9_ID4-50_1,Hybrid_wo_User.dic,PLAMO,0.938814
10_ID4-50_2,Hybrid_wo_User.dic,PLAMO,0.937071
#MEAN,Hybrid_wo_User.dic,PLAMO,0.625942
1_ID1-2_1,Hybrid_wo_User.dic,RURI,0.441519
2_ID1-2_2,Hybrid_wo_User.dic,RURI,0.505640
3_ID2-17_1,Hybrid_wo_User.dic,RURI,0.711899
4_ID2-17_2,Hybrid_wo_User.dic,RURI,0.777242
5_ID3-30_1,Hybrid_wo_User.dic,RURI,0.616778
6_ID3-30_2,Hybrid_wo_User.dic,RURI,0.585370
7_ID1-3_1,Hybrid_wo_User.dic,RURI,0.384258
8_ID1-3_2,Hybrid_wo_User.dic,RURI,0.528703
9_ID4-50_1,Hybrid_wo_User.dic,RURI,0.938814
10_ID4-50_2,Hybrid_wo_User.dic,RURI,0.937071
#MEAN,Hybrid_wo_User.dic,RURI,0.642730
1_ID1-2_1,Hybrid_wo_Normalize,GEMINI,0.609469972
2_ID1-2_2,Hybrid_wo_Normalize,GEMINI,0.522812968
3_ID2-17_1,Hybrid_wo_Normalize,GEMINI,0.709525937
4_ID2-17_2,Hybrid_wo_Normalize,GEMINI,0.777242332
5_ID3-30_1,Hybrid_wo_Normalize,GEMINI,0.616253192
6_ID3-30_2,Hybrid_wo_Normalize,GEMINI,0.597694706
7_ID1-3_1,Hybrid_wo_Normalize,GEMINI,0.362384351
8_ID1-3_2,Hybrid_wo_Normalize,GEMINI,0.537090474
9_ID4-50_1,Hybrid_wo_Normalize,GEMINI,0.938813631
10_ID4-50_2,Hybrid_wo_Normalize,GEMINI,0.937070807
#MEAN,Hybrid_wo_Normalize,GEMINI,0.660835837
1_ID1-2_1,Hybrid_wo_Normalize,OPENAI_SMALL,0.179785934
2_ID1-2_2,Hybrid_wo_Normalize,OPENAI_SMALL,0.276682721
3_ID2-17_1,Hybrid_wo_Normalize,OPENAI_SMALL,0.709525937
4_ID2-17_2,Hybrid_wo_Normalize,OPENAI_SMALL,0.777242332
5_ID3-30_1,Hybrid_wo_Normalize,OPENAI_SMALL,0.616253192
6_ID3-30_2,Hybrid_wo_Normalize,OPENAI_SMALL,0.580801572
7_ID1-3_1,Hybrid_wo_Normalize,OPENAI_SMALL,0.158111618
8_ID1-3_2,Hybrid_wo_Normalize,OPENAI_SMALL,0.343349222
9_ID4-50_1,Hybrid_wo_Normalize,OPENAI_SMALL,0.938813631
10_ID4-50_2,Hybrid_wo_Normalize,OPENAI_SMALL,0.937070807
#MEAN,Hybrid_wo_Normalize,OPENAI_SMALL,0.551763696
1_ID1-2_1,Hybrid_wo_Normalize,OPENAI_LARGE,0.361807615
2_ID1-2_2,Hybrid_wo_Normalize,OPENAI_LARGE,0.513838503
3_ID2-17_1,Hybrid_wo_Normalize,OPENAI_LARGE,0.709525937
4_ID2-17_2,Hybrid_wo_Normalize,OPENAI_LARGE,0.777242332
5_ID3-30_1,Hybrid_wo_Normalize,OPENAI_LARGE,0.68031199
6_ID3-30_2,Hybrid_wo_Normalize,OPENAI_LARGE,0.578252464
7_ID1-3_1,Hybrid_wo_Normalize,OPENAI_LARGE,0.37290112
8_ID1-3_2,Hybrid_wo_Normalize,OPENAI_LARGE,0.52659375
9_ID4-50_1,Hybrid_wo_Normalize,OPENAI_LARGE,0.938813631
10_ID4-50_2,Hybrid_wo_Normalize,OPENAI_LARGE,0.937070807
#MEAN,Hybrid_wo_Normalize,OPENAI_LARGE,0.639635815
1_ID1-2_1,Hybrid_wo_Normalize,PLAMO,0.359239701
2_ID1-2_2,Hybrid_wo_Normalize,PLAMO,0.508261949
3_ID2-17_1,Hybrid_wo_Normalize,PLAMO,0.709525937
4_ID2-17_2,Hybrid_wo_Normalize,PLAMO,0.777242332
5_ID3-30_1,Hybrid_wo_Normalize,PLAMO,0.67798092
6_ID3-30_2,Hybrid_wo_Normalize,PLAMO,0.557884162
7_ID1-3_1,Hybrid_wo_Normalize,PLAMO,0.31495511
8_ID1-3_2,Hybrid_wo_Normalize,PLAMO,0.534487405
9_ID4-50_1,Hybrid_wo_Normalize,PLAMO,0.938813631
10_ID4-50_2,Hybrid_wo_Normalize,PLAMO,0.937070807
#MEAN,Hybrid_wo_Normalize,PLAMO,0.631546195
1_ID1-2_1,Hybrid_wo_Normalize,RURI,0.4415188
2_ID1-2_2,Hybrid_wo_Normalize,RURI,0.505640418
3_ID2-17_1,Hybrid_wo_Normalize,RURI,0.709525937
4_ID2-17_2,Hybrid_wo_Normalize,RURI,0.777242332
5_ID3-30_1,Hybrid_wo_Normalize,RURI,0.616778222
6_ID3-30_2,Hybrid_wo_Normalize,RURI,0.585370138
7_ID1-3_1,Hybrid_wo_Normalize,RURI,0.38425843
8_ID1-3_2,Hybrid_wo_Normalize,RURI,0.528703238
9_ID4-50_1,Hybrid_wo_Normalize,RURI,0.938813631
10_ID4-50_2,Hybrid_wo_Normalize,RURI,0.937070807
#MEAN,Hybrid_wo_Normalize,RURI,0.642492195
1_ID1-2_1,Hybrid_Normalize,GEMINI,0.375962596
2_ID1-2_2,Hybrid_Normalize,GEMINI,0.642951674
3_ID2-17_1,Hybrid_Normalize,GEMINI,0.704988893
4_ID2-17_2,Hybrid_Normalize,GEMINI,0.779554165
5_ID3-30_1,Hybrid_Normalize,GEMINI,0.632674786
6_ID3-30_2,Hybrid_Normalize,GEMINI,0.60257742
7_ID1-3_1,Hybrid_Normalize,GEMINI,0.450143645
8_ID1-3_2,Hybrid_Normalize,GEMINI,0.578941565
9_ID4-50_1,Hybrid_Normalize,GEMINI,0.939318794
10_ID4-50_2,Hybrid_Normalize,GEMINI,0.883742453
#MEAN,Hybrid_Normalize,GEMINI,0.659085599
1_ID1-2_1,Hybrid_Normalize,OPENAI_SMALL,0.376168621
2_ID1-2_2,Hybrid_Normalize,OPENAI_SMALL,0.582838014
3_ID2-17_1,Hybrid_Normalize,OPENAI_SMALL,0.704988893
4_ID2-17_2,Hybrid_Normalize,OPENAI_SMALL,0.779554165
5_ID3-30_1,Hybrid_Normalize,OPENAI_SMALL,0.632674786
6_ID3-30_2,Hybrid_Normalize,OPENAI_SMALL,0.596456608
7_ID1-3_1,Hybrid_Normalize,OPENAI_SMALL,0.395941946
8_ID1-3_2,Hybrid_Normalize,OPENAI_SMALL,0.616446177
9_ID4-50_1,Hybrid_Normalize,OPENAI_SMALL,0.939318794
10_ID4-50_2,Hybrid_Normalize,OPENAI_SMALL,0.883742453
#MEAN,Hybrid_Normalize,OPENAI_SMALL,0.650813046
1_ID1-2_1,Hybrid_Normalize,OPENAI_LARGE,0.418684245
2_ID1-2_2,Hybrid_Normalize,OPENAI_LARGE,0.597227161
3_ID2-17_1,Hybrid_Normalize,OPENAI_LARGE,0.704988893
4_ID2-17_2,Hybrid_Normalize,OPENAI_LARGE,0.779554165
5_ID3-30_1,Hybrid_Normalize,OPENAI_LARGE,0.690838868
6_ID3-30_2,Hybrid_Normalize,OPENAI_LARGE,0.529600225
7_ID1-3_1,Hybrid_Normalize,OPENAI_LARGE,0.565332162
8_ID1-3_2,Hybrid_Normalize,OPENAI_LARGE,0.60936862
9_ID4-50_1,Hybrid_Normalize,OPENAI_LARGE,0.939318794
10_ID4-50_2,Hybrid_Normalize,OPENAI_LARGE,0.883742453
#MEAN,Hybrid_Normalize,OPENAI_LARGE,0.671865559
1_ID1-2_1,Hybrid_Normalize,PLAMO,0.382334798
2_ID1-2_2,Hybrid_Normalize,PLAMO,0.47948182
3_ID2-17_1,Hybrid_Normalize,PLAMO,0.704988893
4_ID2-17_2,Hybrid_Normalize,PLAMO,0.779554165
5_ID3-30_1,Hybrid_Normalize,PLAMO,0.690838868
6_ID3-30_2,Hybrid_Normalize,PLAMO,0.60257742
7_ID1-3_1,Hybrid_Normalize,PLAMO,0.332540933
8_ID1-3_2,Hybrid_Normalize,PLAMO,0.419481969
9_ID4-50_1,Hybrid_Normalize,PLAMO,0.939318794
10_ID4-50_2,Hybrid_Normalize,PLAMO,0.883742453
#MEAN,Hybrid_Normalize,PLAMO,0.621486011
1_ID1-2_1,Hybrid_Normalize,RURI,0.388752568
2_ID1-2_2,Hybrid_Normalize,RURI,0.582838014
3_ID2-17_1,Hybrid_Normalize,RURI,0.704988893
4_ID2-17_2,Hybrid_Normalize,RURI,0.779554165
5_ID3-30_1,Hybrid_Normalize,RURI,0.563278027
6_ID3-30_2,Hybrid_Normalize,RURI,0.531990014
7_ID1-3_1,Hybrid_Normalize,RURI,0.46763965
8_ID1-3_2,Hybrid_Normalize,RURI,0.612531256
9_ID4-50_1,Hybrid_Normalize,RURI,0.939318794
10_ID4-50_2,Hybrid_Normalize,RURI,0.883742453
#MEAN,Hybrid_Normalize,RURI,0.645463383
